Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
56,Walpole,Walpole,,,MA,02081,64.5,C,49.9,83.5,68.6,78.5,76.0,68.8,26391.0,52.6,21.1,9.8,45.1,37,74,26,40,2026-04-02,26.45,38.28,38.28,38.28,622750.0,419,4,5,12.45,646.1,increasing,509950,845000,-8
57,South Weymouth,South Weymouth,"S Weymouth, Weymouth",Weymouth,MA,02190,64.3,C,45.0,93.2,61.2,64.5,64.3,72.0,60159.0,60.0,23.2,10.0,49.46,48,50,35,2,2026-04-02,35.09,41.9,41.9,41.9,341000.0,390,14,3,12.1,343.84,stable,321700,439500,18
58,Foxborough,Foxborough,Foxboro,,MA,02035,64.1,C,44.3,98.8,48.9,56.5,72.5,50.6,18791.0,60.0,28.8,10.0,50.09,39,82,35,40,2026-04-02,35.06,41.2,41.2,41.2,461250.0,316,6,4,12.1,465.09,stable,279900,461250,3
59,Stoughton,Stoughton,,,MA,02072,64.1,C,45.1,97.5,49.6,63.8,52.5,55.9,29457.0,60.0,27.4,10.0,49.4,40,81,29,40,2026-04-02,29.32,41.12,41.12,41.12,372500.0,334,6,2,11.81,366.6,increasing,301000,375000,8
60,Hyde Park,Hyde Park,"Boston, Readville",Boston,MA,02136,64.0,C,68.9,84.4,0.0,9.4,36.9,5.7,673458.0,59.4,15.1,9.8,39.33,32,65,23,40,2026-04-02,23.54,33.45,33.45,33.45,510000.0,498,3,7,12.4,527.0,increasing,295000,510000,-13
61,Medway,Medway,,,MA,02053,64.0,C,39.7,89.2,86.4,86.7,88.0,90.6,13836.0,60.0,20.4,8.8,54.26,47,85,31,40,2026-04-02,31.65,49.03,49.03,49.03,402500.0,428,1,0,14.0,469.58,stable,366000,699900,10
62,North Easton,North Easton,,,MA,02356,64.0,C,40.4,97.7,,,,,,60.0,27.7,10.0,53.66,43,90,37,40,2026-04-02,37.07,44.47,44.47,44.47,331000.0,331,1,0,12.1,333.76,stable,331000,331000,-11
63,Wrentham,Wrentham,,,MA,02093,63.6,C,40.0,98.1,61.5,73.4,76.0,59.4,12516.0,60.0,28.1,10.0,54.0,44,84,37,40,2026-04-02,37.1,45.78,45.78,45.78,327950.0,325,2,3,11.67,318.93,decreasing,327950,575000,7
64,Hopedale,Hopedale,,,MA,01747,63.4,C,34.6,97.4,80.2,83.5,83.5,83.5,6063.0,60.0,30.0,7.4,58.84,49,97,39,40,2026-04-02,39.13,51.05,51.05,51.05,374900.0,284,1,0,16.25,507.68,increasing,325000,430000,20
65,Braintree,Braintree,,,MA,02184,63.2,C,46.0,89.4,59.2,60.8,68.9,68.9,39134.0,60.0,19.4,10.0,48.61,38,81,30,40,2026-04-02,30.51,39.07,39.07,39.07,400000.0,441,13,9,10.06,335.33,stable,381000,491000,20
66,East Weymouth,East Weymouth,Weymouth,Weymouth,MA,02189,63.0,C,43.4,91.9,61.2,64.5,64.3,72.0,60159.0,60.0,21.9,10.0,50.95,49,52,35,2,2026-04-02,35.83,43.27,43.27,43.27,330000.0,408,5,0,12.1,332.75,increasing,223000,330000,14
67,Milford,Milford,,,MA,01757,63.0,C,41.6,99.6,49.1,46.7,72.8,59.0,30640.0,60.0,30.0,9.6,52.55,43,90,37,40,2026-04-02,37.26,44.7,44.7,44.7,267250.0,276,10,5,12.69,282.62,decreasing,267250,527500,12
68,Chelsea,Chelsea,,,MA,02150,62.6,C,62.4,89.6,0.0,0.0,33.1,11.8,40245.0,60.0,19.6,10.0,41.28,31,71,24,40,2026-04-02,22.42,34.92,34.92,34.92,429000.0,439,15,17,11.48,410.41,decreasing,407500,485000,-14
69,Milton,Milton,,,MA,02186,62.4,C,56.9,61.1,84.1,91.3,86.1,83.2,28811.0,42.1,9.0,10.0,42.94,33,74,27,40,2026-04-02,26.82,34.37,34.37,34.37,799000.0,620,10,12,11.81,786.35,increasing,535000,840190,-1
70,Northbridge,Northbridge,,,MA,01534,61.7,C,36.6,90.7,77.7,89.0,80.1,75.7,16719.0,50.7,30.0,10.0,57.06,47,92,39,40,2026-04-02,39.03,48.82,48.82,48.82,654450.0,235,2,1,11.63,634.27,increasing,210000,659900,4
71,Westborough,Westborough,,,MA,01581,61.5,C,45.4,87.5,54.2,64.7,66.1,57.3,22643.0,60.0,19.9,7.6,49.15,38,85,30,40,2026-04-02,32.56,40.15,40.15,40.15,447845.0,434,23,14,15.93,594.51,decreasing,437497,517825,7
72,Jamaica Plain,Jamaica Plain,Boston,Boston,MA,02130,61.4,C,70.6,74.5,0.0,9.4,36.9,5.7,673458.0,54.6,10.1,9.8,38.83,31,68,19,40,2026-04-02,19.56,32.08,32.08,32.08,590000.0,598,33,27,12.4,609.67,decreasing,590000,715000,-20
73,Roxbury Crossing,Roxbury Crossing,"Boston, Mission Hill, Roxbury, Roxbury Xing",Boston,MA,02120,61.1,C,65.2,81.5,0.0,9.4,36.9,5.7,673458.0,58.9,12.6,10.0,40.45,36,44,16,2,2026-04-02,16.89,34.88,34.88,34.88,519000.0,547,3,1,12.1,523.32,decreasing,519000,889000,-20
74,Revere,Revere,,,MA,02151,60.9,C,51.9,86.8,30.3,36.0,42.8,47.5,60702.0,60.0,16.8,10.0,44.44,34,91,25,40,2026-04-02,25.71,35.62,35.62,35.62,356500.0,476,22,21,8.94,265.59,decreasing,345000,470000,-15
75,Abington,Abington,,,MA,02351,60.2,C,36.1,95.7,57.5,63.9,58.1,68.5,17090.0,60.0,26.2,9.6,57.51,46,92,36,40,2026-04-02,36.79,47.0,47.0,47.0,310000.0,351,3,1,12.81,330.92,decreasing,248500,480500,6
76,Boston,Boston,,,MA,02109,59.9,C-,78.8,58.6,0.0,9.4,36.9,5.7,673458.0,48.8,0.0,9.8,36.37,28,75,21,40,2026-04-02,21.54,28.82,28.82,28.82,686500.0,911,6,10,12.4,709.38,decreasing,686500,1412500,-20
