Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
48,Foxborough,Foxborough,Foxboro,,MA,02035,63.0,C,44.3,95.8,48.9,56.5,72.5,50.6,18791.0,55.8,30.0,10.0,50.09,39,82,35,40,2026-04-02,35.06,41.2,41.2,41.2,570000.0,261,3,2,12.1,574.75,increasing,452500,622000,2
49,Holliston,Holliston,,,MA,01746,62.9,C,43.0,80.0,89.4,94.6,88.1,89.9,15347.0,44.1,27.3,8.6,51.3,43,86,27,40,2026-04-02,25.13,46.87,46.87,46.87,765000.0,336,2,3,14.29,910.99,increasing,630000,765000,6
50,Roslindale,Roslindale,Boston,Boston,MA,02131,62.8,C,62.6,89.9,0.0,9.4,36.9,5.7,673458.0,60.0,20.1,9.8,41.23,34,69,19,40,2026-04-02,19.66,34.85,34.85,34.85,489000.0,432,3,5,12.4,505.3,decreasing,489000,1033750,-21
51,Braintree,Braintree,,,MA,02184,62.7,C,46.0,88.0,59.2,60.8,68.9,68.9,39134.0,57.9,20.1,10.0,48.61,38,81,30,40,2026-04-02,30.51,39.07,39.07,39.07,535000.0,432,5,2,10.06,448.51,stable,494500,780000,13
52,Revere,Revere,,,MA,02151,62.1,C,51.9,90.4,30.3,36.0,42.8,47.5,60702.0,60.0,20.4,10.0,44.44,34,91,25,40,2026-04-02,25.71,35.62,35.62,35.62,430000.0,428,19,2,8.94,320.35,decreasing,410000,650000,-17
53,Winthrop,Winthrop,,,MA,02152,62.1,C,45.4,82.4,70.4,76.9,80.4,71.5,18739.0,56.2,16.1,10.0,49.18,39,91,26,40,2026-04-02,26.62,41.22,41.22,41.22,562500.0,485,4,3,11.14,522.19,decreasing,542500,700000,4
54,Northbridge,Northbridge,,,MA,01534,61.8,C,36.6,91.0,77.7,89.0,80.1,75.7,16719.0,51.0,30.0,10.0,57.06,47,92,39,40,2026-04-02,39.03,48.82,48.82,48.82,649900.0,299,1,0,11.63,629.86,increasing,520000,725000,-2
55,Abington,Abington,,,MA,02351,61.5,C,36.1,99.6,57.5,63.9,58.1,68.5,17090.0,60.0,30.0,9.6,57.51,46,92,36,40,2026-04-02,36.79,47.0,47.0,47.0,462500.0,290,2,1,12.81,493.72,stable,457500,497500,1
56,Chelsea,Chelsea,,,MA,02150,61.4,C,62.4,86.3,0.0,0.0,33.1,11.8,40245.0,59.1,17.2,10.0,41.28,31,71,24,40,2026-04-02,22.42,34.92,34.92,34.92,515000.0,471,1,1,11.48,492.68,increasing,278700,515000,-20
57,Milford,Milford,,,MA,01757,61.2,C,41.6,94.4,49.1,46.7,72.8,59.0,30640.0,55.2,29.5,9.6,52.55,43,90,37,40,2026-04-02,37.26,44.7,44.7,44.7,580000.0,306,7,1,12.69,613.35,increasing,460000,580000,4
58,Weymouth,Weymouth,,,MA,02188,60.0,C,43.8,82.7,61.2,64.5,64.3,72.0,60159.0,45.5,27.1,10.0,50.61,37,88,33,40,2026-04-02,33.94,38.85,38.85,38.85,741000.0,338,4,1,10.12,624.91,increasing,467500,741000,10
