Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Walpole,MA,02081,1,2026-03-13,727500.0,727500.0,727500.0,727500.0,749450.0,379,34,14,redfin,12.45,database,9057.38,754.78,511250,845000,718354,12,stable
Brockton,MA,02301,1,2026-03-13,726500.0,726500.0,726500.0,726500.0,799000.0,282,20,14,redfin,11.63,database,8449.2,704.1,265000,726500,459291,12,increasing
Gloucester,MA,01930,1,2026-03-13,725000.0,725000.0,725000.0,725000.0,786000.0,432,42,9,redfin,9.31,database,6749.75,562.48,360000,925000,673833,12,increasing
Winthrop,MA,02152,1,2026-03-13,720000.0,720000.0,720000.0,720000.0,719000.0,424,25,7,redfin,11.14,database,8020.8,668.4,476000,950000,698333,12,increasing
Billerica,MA,01821,1,2026-03-13,709500.0,709500.0,709500.0,709500.0,657499.0,351,64,18,redfin,11.61,database,8237.3,686.44,315000,730000,623041,12,increasing
Lowell,MA,01852,1,2026-03-13,706500.0,706500.0,706500.0,706500.0,609450.0,231,10,4,redfin,11.35,database,8018.78,668.23,309999,706500,510208,12,increasing
Stow,MA,01775,1,2026-03-13,706000.0,706000.0,706000.0,706000.0,582500.0,321,9,6,redfin,17.87,database,12616.22,1051.35,685000,1021500,820333,12,decreasing
Danvers,MA,01923,1,2026-03-13,705000.0,705000.0,705000.0,705000.0,699000.0,353,36,9,redfin,10.65,database,7508.25,625.69,345000,775000,618395,12,increasing
Tyngsborough,MA,01879,1,2026-03-13,704300.0,704300.0,704300.0,704300.0,724990.0,310,17,6,redfin,12.99,database,9148.86,762.41,428450,955924,687445,12,stable
Ashland,MA,01721,1,2026-03-13,695000.0,695000.0,695000.0,695000.0,760500.0,340,2,2,redfin,12.71,database,8833.45,736.12,507000,752500,645833,12,increasing
Revere,MA,02151,1,2026-03-13,695000.0,695000.0,695000.0,695000.0,640000.0,410,35,12,redfin,8.94,database,6213.3,517.78,345000,880000,626000,12,decreasing
Boston,MA,02113,1,2026-03-13,693000.0,693000.0,693000.0,693000.0,604500.0,936,16,9,redfin,12.4,database,8593.2,716.1,575000,1705000,1006125,12,increasing
Billerica,MA,01862,1,2026-03-13,685000.0,685000.0,685000.0,685000.0,704450.0,351,19,6,redfin,11.61,database,7952.85,662.74,200000,880000,550995,12,increasing
Roslindale,MA,02131,1,2026-03-13,680500.0,680500.0,680500.0,680500.0,685000.0,485,56,19,redfin,12.4,database,8438.2,703.18,521500,1049000,723958,12,decreasing
Boston,MA,02215,1,2026-03-13,680000.0,680000.0,680000.0,680000.0,599000.0,905,19,18,redfin,12.4,database,8432.0,702.67,631500,715000,686083,12,stable
Hopedale,MA,01747,1,2026-03-13,680000.0,680000.0,680000.0,680000.0,,332,1,0,redfin,16.25,database,11050.0,920.83,410000,680000,495333,12,increasing
Hudson,MA,01749,1,2026-03-13,675000.0,675000.0,675000.0,675000.0,599900.0,340,39,13,redfin,14.14,database,9544.5,795.38,275000,685000,530834,12,increasing
Swampscott,MA,01907,1,2026-03-13,672750.0,672750.0,672750.0,672750.0,649000.0,382,36,18,redfin,12.0,database,8073.0,672.75,396500,1065000,721062,12,decreasing
Roxbury,MA,02119,1,2026-03-13,670000.0,670000.0,670000.0,670000.0,737500.0,522,23,21,redfin,12.4,database,8308.0,692.33,517000,1100000,809916,12,decreasing
Southborough,MA,01772,1,2026-03-13,665000.0,665000.0,665000.0,665000.0,799900.0,350,17,12,redfin,14.36,database,9549.4,795.78,550000,1070000,787916,12,decreasing
Shrewsbury,MA,01545,1,2026-03-13,657000.0,657000.0,657000.0,657000.0,650000.0,312,73,45,redfin,11.5,database,7555.5,629.62,290000,785000,567837,12,increasing
Grafton,MA,01560,1,2026-03-13,652025.0,652025.0,652025.0,652025.0,654900.0,341,4,3,redfin,13.69,database,8926.22,743.85,442000,760000,603462,12,stable
Mattapan,MA,02126,1,2026-03-13,650000.0,650000.0,650000.0,650000.0,849900.0,378,23,19,redfin,12.4,database,8060.0,671.67,430000,1200000,692106,12,increasing
Pepperell,MA,01463,1,2026-03-13,649900.0,649900.0,649900.0,649900.0,625000.0,274,33,3,redfin,13.78,database,8955.62,746.3,350000,649900,497450,12,increasing
Groveland,MA,01834,1,2026-03-13,640000.0,640000.0,640000.0,640000.0,657395.0,356,22,7,redfin,12.98,database,8307.2,692.27,450000,925000,645875,12,decreasing
