Town,State,Tax_Rate_Per_1000,Fiscal_Year,Last_Updated ,Comments
Goffstown,NH,20.88,2025,12/31/2025,
Grafton,NH,15.83,2025,12/31/2025,
Grantham,NH,19.9,2025,12/31/2025,
Greenfield,NH,21,2025,12/31/2025,
Greenland,NH,13.36,2025,12/31/2025,
Hampstead,NH,19.09,2025,12/31/2025,
Hampton,NH,12.61,2025,12/31/2025,
Hancock,NH,27.07,2025,12/31/2025,
Harrisville,NH,13.03,2025,12/31/2025,
Holderness,NH,9.42,2025,12/31/2025,
Hollis,NH,18.9,2025,12/31/2025,
Hudson,NH,17.11,2025,11/14/2025,
Jaffrey,NH,18.95,2025,12/31/2025,
Langdon,NH,28.41,2025,12/31/2025,
Lempster,NH,15.63,2025,12/31/2025,
Lincoln,NH,12.66,2025,12/31/2025,
Litchfield,NH,14.2,2025,12/31/2025,
Littleton,NH,14.1,2025,12/31/2025,
Lyme,NH,28.19,2025,12/31/2025,
Madbury,NH,17.94,2025,12/31/2025,
Merrimack,NH,22.11,2025,12/31/2025,
Milan,NH,14.66,2025,12/31/2025,
Monroe,NH,13.51,2025,12/31/2025,
Moultonborough,NH,5.33,2025,12/31/2025,
Nashua,NH,16.83,2025,12/31/2025,
New Boston,NH,23.67,2025,12/31/2025,
New Castle,NH,5.73,2025,12/31/2025,
New Ipswich,NH,17.03,2025,12/31/2025,
Newbury,NH,10.48,2025,12/31/2025,
Newington,NH,7.88,2025,12/31/2025,
Newmarket,NH,19.42,2025,12/31/2025,
Orford,NH,17.51,2025,12/31/2025,
Pelham,NH,19.09,2025,12/31/2025,
Pembroke,NH,21.84,2025,12/31/2025,
Peterborough,NH,22.35,2025,12/31/2025,
Piermont,NH,22.46,2025,12/31/2025,
Pittsburg,NH,9.6,2025,12/31/2025,
Pittsfield,NH,17.82,2025,12/31/2025,
Plainfield,NH,17.6,2025,12/31/2025,
Plaistow,NH,14.44,2025,12/31/2025,
Raymond,NH,22.96,2025,12/31/2025,
Salem,NH,18.16,2025,12/31/2025,
Sandown,NH,17.8,2025,12/31/2025,
Stratford,NH,27.92,2025,12/31/2025,
Sullivan,NH,18.57,2025,12/31/2025,
Surry,NH,16.82,2025,12/31/2025,
Tamworth,NH,14.78,2025,12/31/2025,
Unity,NH,19.65,2025,12/31/2025,
Warner,NH,17.32,2025,12/31/2025,
