Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Northborough,91.1,6.239364719228588,99,15867,97.9,95.8,86.5,0.12604777210562804,0.2520955442112561,4.8528392260666795,2.0,4.0,77.0
Northbridge,77.7,15.610981518033375,261,16719,89.0,80.1,75.7,0.6579340869669239,1.1962437944853161,8.732579699742807,11.0,20.0,146.0
Northfield,76.7,16.319444444444446,47,2880,88.4,65.3,81.7,0.6944444444444444,2.0833333333333335,6.597222222222222,2.0,6.0,19.0
Norton,85.2,10.365099009900991,201,19392,81.1,91.4,91.3,1.1344884488448845,0.5156765676567656,3.1456270627062706,22.0,10.0,61.0
Norwell,84.8,10.629955563300514,122,11477,92.7,84.0,84.5,0.43565391652870955,0.9584386163631611,5.576370131567482,5.0,11.0,64.0
Norwood,66.4,23.48570708978718,746,31764,76.4,66.4,71.2,1.4166981488477521,2.0148595894723584,10.357637577131344,45.0,64.0,329.0
Oak Bluffs,20.7,55.4836323284631,300,5407,38.4,29.7,34.9,3.6989088218975406,4.6236360273719255,23.118180136859625,20.0,25.0,125.0
Oakham,76.1,16.71891327063741,32,1914,73.9,82.6,84.0,1.567398119122257,1.0449320794148382,5.747126436781609,3.0,2.0,11.0
Orange,40.3,41.80403534221284,317,7583,34.1,64.8,56.4,3.9562178557299226,2.109982856389292,15.692997494395359,30.0,16.0,119.0
Orleans,65.4,24.20971472629144,157,6485,76.9,76.9,63.6,1.3878180416345411,1.3878180416345411,13.10717039321511,9.0,9.0,85.0
Otis,84.1,11.11797405806053,18,1619,89.7,79.4,88.0,0.6176652254478073,1.2353304508956147,4.323656578134651,1.0,2.0,7.0
Oxford,66.7,23.32814930015552,315,13503,67.9,77.8,73.1,1.925498037473154,1.3330371028660297,9.70154780419166,26.0,18.0,131.0
Palmer,25.2,52.389409105586054,649,12388,42.1,37.0,35.5,3.471101065547304,4.036164029706168,22.92541168873103,43.0,50.0,284.0
Paxton,78.5,15.070394606385088,76,5043,90.1,70.3,81.3,0.5948839976204641,1.784651992861392,6.742018639698593,3.0,9.0,34.0
Peabody,56.1,30.74813237576239,1704,55418,58.8,70.5,63.7,2.4721209715254973,1.7683785051788228,13.082392002598434,137.0,98.0,725.0
Pelham,88.3,8.190618019359643,11,1343,87.6,100.0,87.6,0.7446016381236039,0.0,4.467609828741623,1.0,0.0,6.0
Pembroke,81.2,13.186455393965703,243,18428,84.6,81.0,85.7,0.9225092250922509,1.1395702192316042,5.155198610809638,17.0,21.0,95.0
Pepperell,71.0,20.29131935673992,241,11877,81.8,64.9,76.4,1.0945524964216553,2.104908646964722,8.503830933737477,13.0,25.0,101.0
Pittsfield,15.5,59.159110410240956,2551,43121,19.6,9.5,54.6,4.82363581549593,6.238259780617333,16.326151990909302,208.0,269.0,704.0
Plainville,38.8,42.813151882388006,431,10067,57.0,52.0,40.4,2.5826959372206217,2.880699314592232,21.257574252508196,26.0,29.0,214.0
Plymouth,51.5,33.9318662526439,2262,66663,51.5,71.0,60.7,2.910160058803234,1.7400957052637895,14.160778842836358,194.0,116.0,944.0
Plympton,65.8,23.954116059379217,71,2964,71.9,77.5,68.1,1.686909581646424,1.3495276653171389,11.470985155195683,5.0,4.0,34.0
Princeton,78.2,15.290519877675841,55,3597,86.1,67.6,85.3,0.8340283569641368,1.9460661662496526,5.2821795941062,3.0,7.0,19.0
Provincetown,8.1,64.36041834271923,240,3729,41.9,55.3,0.0,3.4861893268972914,2.681684097613301,38.88441941539287,13.0,10.0,145.0
Quincy,27.8,50.56364444960071,5230,103434,46.5,45.3,31.2,3.2097762824603127,3.374132296923642,24.39236614652822,332.0,349.0,2523.0
Randolph,56.0,30.78544170416358,1081,35114,65.4,68.2,59.3,2.07894287178903,1.9080708549296577,14.666514780429459,73.0,67.0,515.0
Raynham,66.0,23.768993127797742,377,15861,66.4,66.4,78.8,2.017527268141983,2.017527268141983,7.628774982661875,32.0,32.0,121.0
Reading,81.4,13.017933259091434,339,26041,94.2,83.4,77.0,0.34560884758649824,0.9984255596943282,8.294612342075958,9.0,26.0,216.0
Rehoboth,79.9,14.035606116569403,190,13537,90.2,66.8,85.8,0.5909728891187116,1.994533500775652,5.097141168648888,8.0,27.0,69.0
Revere,30.3,48.779282395967186,2961,60702,36.0,42.8,47.5,3.8384237751639154,3.5748410266548056,18.86264044018319,233.0,217.0,1145.0
Rochester,79.1,14.65633423180593,87,5936,91.6,57.9,87.4,0.5053908355795148,2.526954177897574,4.548517520215634,3.0,15.0,27.0
